zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag,Publisher,twitch_id
SRSUZIVM,,,2022-03-24,tvBroadcast,"Elysée 2022 : (multiple) Mélenchon, Roussel, Pécresse, Arthaud, Lassalle","Mélenchon, Jean-Luc; Roussel, Fabien; Pécresse, Valérie; Arthaud, Nathalie; Lassalle, Jean",Elysée 2022,,#Elysée2022|#JeanLassalle2022|#LaFranceAuthentique|#Roussel|#Roussel2022|#JLMPrésident|#Mélenchon2022|#UnionPopulaire|#Arthaud|#Arthaud2022|#Pécresse2022|#Pécresse,France 2,
ZLLI9ZEA,,,2022-03-24,tvBroadcast,Elysée 2022 : Mélenchon,"Mélenchon, Jean-Luc",Elysée 2022,,#Elysée2022|#JLMprésident|#UnionPopulaire|#Melenchon2022,France 2,
GVH9R75D,,,2022-03-24,tvBroadcast,Elysée 2022 : Arthaud,"Arthaud, Nathalie",Elysée 2022,,#Elysée2022|#Arthaud2022,France 2,
CXCEW3L8,,,2022-03-24,tvBroadcast,Elysée 2022 : Lassalle,"Lassalle, Jean",Elysée 2022,,#Elysée2022|#LaFranceAuthentique|#JeanLassalle2022,France 2,
4NQ2AGQH,,,2022-03-24,tvBroadcast,Elysée 2022 : Pécresse,"Pécresse, Valérie",Elysée 2022,,#Elysée2022|#Pécresse2022|#Pécresse,France 2,
4MDT96SS,,,2022-03-24,tvBroadcast,Elysée 2022 : Roussel,"Roussel, Fabien",Elysée 2022,,#Elysée2022|#Roussel|#Roussel2022,France 2,
56LWKQ88,,,2022-03-31,tvBroadcast,"Elysée 2022 : (multiple) Mélenchon, Lassalle, Le Pen, Arthaud, Roussel, Dupont-Aignan","Mélenchon, Jean-Luc; Lassalle, Jean; Le Pen, Marine; Arthaud, Nathalie; Roussel, Fabien; Dupont-Aignan, Nicolas",Elysée 2022,,#Elysée2022|#JeanLassalle2022|#LaFranceAuthentique|#Roussel|#Roussel2022|#JLMPrésident|#Mélenchon2022|#MélenchonVaGagner|#UnionPopulaire|#Arthaud|#Arthaud2022|#2022NDA|#MLaFrance|#ChoisirLaLiberté|#MLP2022|#MarinePresidente,France 2,
MPF659C2,,,2022-04-05,tvBroadcast,"Elysée 2022 : (multiple) Jadot, Zemmour, Poutou, Pécresse, Hidalgo","Jadot, Yannick; Zemmour, Eric; Poutou, Philippe; Pécresse, Valérie; Hidalgo, Anne",Elysée 2022,,#Elysée2022|#Poutou|#Poutou2022|#ZemmourPresident|#ZemmourVSMacron|#ZoZZ|#JeVoteZemmourLe10Avril|#Hidalgo2022|#Hidalgo|#Jadot2022|#FaireFace|#JeVoteJadot|#Pécresse2022|#Pécresse,France 2,
7HEI7CH4,,,2022-03-08,tvBroadcast,"Elysée 2022, demandez le programme : Roussel","Roussel, Fabien","Elysée 2022, demandez le programme",,#Demandezleprogramme #Roussel2022,CNEWS,
CVM6LE9I,,,2022-03-10,radioBroadcast,Europe Matin : Jadot,"Jadot, Yannick",Europe Matin,,#Europe1 #Jadot2022 #Changeons,Europe 1,
GLK4YQDH,,,2022-03-16,radioBroadcast,Europe Matin : Hidalgo,"Hidalgo, Anne",Europe Matin,,#Hidalgo2022 #Europe1,Europe 1,
Q645QKKU,,,2022-03-10,tvBroadcast,"Face à Face : (multiple) Pécresse, Zemmour","Pécresse, Valérie; Zemmour, Eric",Face à Face,,#ValeriePresidente #FaceaFaceTF1LCI #ZemmourVsPecresse #PecresseNaufrage #Insupportable #ZemmourPresident,LCI,
Z46U9UGX,,,2022-01-03,radioBroadcast,Face au 7/9 : Mélenchon,"Mélenchon, Jean-Luc",Face au 7/9,,#le79inter|#Elysee2022|(génériques),France Inter,
6ZAGVT8K,,,2022-01-13,radioBroadcast,Face au 7/9 : Hidalgo,"Hidalgo, Anne",Face au 7/9,,#le79inter|#Elysee2022|(génériques),France Inter,
WUTUM9V2,,,2022-01-19,radioBroadcast,Face au 7/9 : Le Pen,"Le Pen, Marine",Face au 7/9,,#le79inter|#Elysee2022|(génériques),France Inter,
HHYM8ZX2,,,2022-01-25,radioBroadcast,Face au 7/9 : Jadot,"Jadot, Yannick",Face au 7/9,,|,France Inter,
QP2EAYEK,,,2022-02-07,radioBroadcast,Face au 7/9 : Zemmour,"Zemmour, Eric",Face au 7/9,,#le79inter|#Elysee2022|(génériques),France Inter,
8WQIWKUY,,,2022-02-15,radioBroadcast,Face au 7/9 : Roussel,"Roussel, Fabien",Face au 7/9,,#le79inter|#Elysee2022|(génériques)|#Roussel|#roussellement,France Inter,
U2B9YG5R,,,2022-02-22,radioBroadcast,Face au 7/9 : Pécresse,"Pécresse, Valérie",Face au 7/9,,#le79inter|#Elysee2022|(génériques)|#pecresse|#pecresse2022,France Inter,
JD8ZMIVA,,,2022-03-07,tvBroadcast,"Face aux Françaises : (multiple) Le Pen, Jadot, Mélenchon, Macron, Zemmour, Pécresse, Hidalgo, Roussel)","Le Pen, Marine; Jadot, Yannick; Mélenchon, Jean-Luc; Macron, Emmanuel; Zemmour, Eric; Pécresse, Valérie; Hidalgo, Anne; Roussel, Fabien",Face aux Françaises,,#faceauxfrançaises|,LCI/ELLE,
NH8DEHM2,,,2022-03-08,tvBroadcast,L'interview Apolline Matin : Zemmour,"Zemmour, Eric",L'interview Apolline Matin,,#ApollineMatin|#8mars|#ZemmourPresident|#RMC|#BFM|#Journeedelafemme|#ZOZZ,RMC/BFMTV,
